sample,batch,group,benchmark
P1_AAFAPP_2048_0108_1,1,0,0
P1_AAFAPP_2048_0108_2,1,0,0
P2_S_AAFAPP_0008_0108_0,1,0,0
P2_S_AAFAPP_0008_0108_1,1,0,0
P2_S_AAFAPP_0008_0108_2,1,0,0
P2_AAFAPP_0128_0108_0,1,0,0
P2_AAFAPP_0128_0108_1,1,0,0
P2_AAFAPP_0128_0108_2,1,0,0
P2_S_AAFAPP_0032_0108_0,1,0,0
P2_S_AAFAPP_0032_0108_1,1,0,0
P2_S_AAFAPP_0032_0108_2,1,0,0
P2_S_13C_0002_0108_0,1,0,0
P2_S_13C_0002_0108_1,1,0,0
P2_S_13C_0002_0108_2,1,0,0
P1_FA_0002_0108_0,1,0,0
P1_FA_0002_0108_1,1,0,0
P1_FA_0002_0108_2,1,0,0
P1_AAFAPP_0512_0108_0,1,0,0
P1_AAFAPP_0512_0108_1,1,0,0
P1_AAFAPP_0512_0108_2,1,0,0
P1_13C_0008_0108_0,1,0,0
P1_13C_0008_0108_1,1,0,0
P1_13C_0008_0108_2,1,0,0
P2_AAFAPP_0512_0108_0,1,0,0
P2_AAFAPP_0512_0108_1,1,0,0
P2_AAFAPP_0512_0108_2,1,0,0
P1_PP_0128_0108_0,1,0,0
P1_PP_0128_0108_1,1,0,0
P1_PP_0128_0108_2,1,0,0
P2_S_AA_0001_0108_0,1,0,0
P2_S_AA_0001_0108_1,1,0,0
P2_S_AA_0001_0108_2,1,0,0
P2_S_13C_0064_0108_0,1,0,0
P2_S_13C_0064_0108_1,1,0,0
P2_S_13C_0064_0108_2,1,0,0
P1_FA_1024_0108_0,1,0,0
P1_FA_1024_0108_1,1,0,0
P1_FA_1024_0108_2,1,0,0
P2_S_PP_0004_0108_0,1,0,0
P2_S_PP_0004_0108_1,1,0,0
P2_S_PP_0004_0108_2,1,0,0
P2_S_13C_0001_0108_0,1,0,0
P2_S_13C_0001_0108_1,1,0,0
P2_S_13C_0001_0108_2,1,0,0
P1_13C_0001_0108_0,1,0,0
P1_13C_0001_0108_1,1,0,0
P1_13C_0001_0108_2,1,0,0
P1_AA_0032_0108_0,1,0,0
P1_AA_0032_0108_1,1,0,0
P1_AA_0032_0108_2,1,0,0
P2_S_PP_0064_0108_0,1,0,0
P2_S_PP_0064_0108_1,1,0,0
P2_S_PP_0064_0108_2,1,0,0
P1_13C_2048_0108_0,1,0,0
P1_13C_2048_0108_1,1,0,0
P1_13C_2048_0108_2,1,0,0
P2_S_FA_0008_0108_0,1,0,0
P2_S_FA_0008_0108_1,1,0,0
P2_S_FA_0008_0108_2,1,0,0
P1_PP_0256_0110_0,2,0,0
P1_PP_0256_0110_1,2,0,0
P1_PP_0256_0110_2,2,0,0
P2_S_PP_0008_0110_0,2,0,0
P2_S_PP_0008_0110_1,2,0,0
P2_S_PP_0008_0110_2,2,0,0
P2_S_13C_0008_0110_0,2,0,0
P2_S_13C_0008_0110_1,2,0,0
P2_S_13C_0008_0110_2,2,0,0
P1_PP_2048_0110_0,2,0,0
P1_PP_2048_0110_1,2,0,0
P1_PP_2048_0110_2,2,0,0
P1_13C_0064_0110_0,2,0,0
P1_13C_0064_0110_1,2,0,0
P1_13C_0064_0110_2,2,0,0
P1_PP_0004_0110_0,2,0,0
P1_PP_0004_0110_1,2,0,0
P1_PP_0004_0110_2,2,0,0
P2_S_13C_0128_0110_0,2,0,0
P2_S_13C_0128_0110_1,2,0,0
P2_S_13C_0128_0110_2,2,0,0
P2_AAFAPP_0004_0110_0,2,0,0
P2_AAFAPP_0004_0110_1,2,0,0
P2_AAFAPP_0004_0110_2,2,0,0
P2_S_13C_0032_0110_0,2,0,0
P2_S_13C_0032_0110_1,2,0,0
P2_S_13C_0032_0110_2,2,0,0
P1_PP_0032_0110_0,2,0,0
P1_PP_0032_0110_1,2,0,0
P1_PP_0032_0110_2,2,0,0
P2_S_PP_0128_0110_0,2,0,0
P2_S_PP_0128_0110_1,2,0,0
P2_S_PP_0128_0110_2,2,0,0
P1_FA_0004_0110_0,2,0,0
P1_FA_0004_0110_1,2,0,0
P1_FA_0004_0110_2,2,0,0
P1_PP_0001_0110_0,2,0,0
P1_PP_0001_0110_1,2,0,0
P1_PP_0001_0110_2,2,0,0
P2_AAFAPP_0001_0110_0,2,0,0
P2_AAFAPP_0001_0110_1,2,0,0
P2_AAFAPP_0001_0110_2,2,0,0
P2_S_AA_0128_0110_0,2,0,0
P2_S_AA_0128_0110_1,2,0,0
P2_S_AA_0128_0110_2,2,0,0
P1_AAFAPP_0008_0110_0,2,0,0
P1_AAFAPP_0008_0110_1,2,0,0
P1_AAFAPP_0008_0110_2,2,0,0
P2_S_FA_0016_0110_0,2,0,0
P2_S_FA_0016_0110_1,2,0,0
P2_S_FA_0016_0110_2,2,0,0
P1_AAFAPP_0016_0110_0,2,0,0
P1_AAFAPP_0016_0110_1,2,0,0
P1_AAFAPP_0016_0110_2,2,0,0
P2_S_0008_0110_0,2,0,0
P2_S_0008_0110_1,2,0,0
P2_S_0008_0110_2,2,0,0
P1_13C_1024_0110_0,2,0,0
P1_13C_1024_0110_1,2,0,0
P1_13C_1024_0110_2,2,0,0
P2_S_FA_0004_0110_0,2,0,0
P2_S_FA_0004_0110_1,2,0,0
P2_S_FA_0004_0110_2,2,0,0
P1_S_0004_0110_0,2,0,0
P1_S_0004_0110_1,2,0,0
P1_S_0004_0110_2,2,0,0
P1_AA_0256_0110_0,2,0,0
P1_AA_0256_0110_1,2,0,0
P1_AA_0256_0110_2,2,0,0
P1_S_0001_0110_0,2,0,0
P1_S_0001_0110_1,2,0,0
P1_S_0001_0110_2,2,0,0
P1_13C_0016_0110_0,2,0,0
P1_13C_0016_0110_1,2,0,0
P1_13C_0016_0110_2,2,0,0
P1_AA_2048_0110_0,2,0,0
P1_AA_2048_0110_1,2,0,0
P1_AA_2048_0110_2,2,0,0
P1_PP_0512_0110_0,2,0,0
P1_PP_0512_0110_1,2,0,0
P1_PP_0512_0110_2,2,0,0
P2_S_PP_0002_0110_0,2,0,0
P2_S_PP_0002_0110_1,2,0,0
P2_S_PP_0002_0110_2,2,0,0
P2_S_FA_0128_0110_0,2,0,0
P2_S_FA_0128_0110_1,2,0,0
P2_S_FA_0128_0110_2,2,0,0
P1_S_0008_0110_0,2,0,0
P1_S_0008_0110_1,2,0,0
P1_S_0008_0110_2,2,0,0
P1_S_0512_0110_0,2,0,0
P1_S_0512_0110_1,2,0,0
P1_S_0512_0110_2,2,0,0
P1_PP_0008_0110_0,2,0,0
P1_PP_0008_0110_1,2,0,0
P1_PP_0008_0110_2,2,0,0
P1_PP_1024_0110_0,2,0,0
P1_PP_1024_0110_1,2,0,0
P1_PP_1024_0110_2,2,0,0
P2_S_0064_0110_0,2,0,0
P2_S_0064_0110_1,2,0,0
P2_S_0064_0110_2,2,0,0
P1_13C_0032_0110_0,2,0,0
P1_13C_0032_0110_1,2,0,0
P1_13C_0032_0110_2,2,0,0
P1_AAFAPP_0064_0110_0,2,0,0
P1_AAFAPP_0064_0110_1,2,0,0
